open,high,low,close,volume,time,dateTime
133.52,133.6116,126.76,129.41,143301890,1609718400000,2021-01-04T15:00:00.000-05:00
128.89,131.74,128.43,131.01,97664898,1609804800000,2021-01-05T15:00:00.000-05:00
127.72,131.0499,126.382,126.6,155087970,1609891200000,2021-01-06T15:00:00.000-05:00
128.36,131.63,127.86,130.92,109578157,1609977600000,2021-01-07T15:00:00.000-05:00
132.43,132.63,130.23,132.05,105158245,1610064000000,2021-01-08T15:00:00.000-05:00
129.19,130.17,128.5,128.98,100620880,1610323200000,2021-01-11T15:00:00.000-05:00
128.5,129.69,126.86,128.8,91951145,1610409600000,2021-01-12T15:00:00.000-05:00
128.76,131.45,128.49,130.89,88636831,1610496000000,2021-01-13T15:00:00.000-05:00
130.8,131.0,128.76,128.91,90221755,1610582400000,2021-01-14T15:00:00.000-05:00
128.78,130.2242,127.0,127.14,111598531,1610668800000,2021-01-15T15:00:00.000-05:00
127.78,128.71,126.938,127.83,90757329,1611014400000,2021-01-19T15:00:00.000-05:00
128.66,132.49,128.55,132.03,104319489,1611100800000,2021-01-20T15:00:00.000-05:00
133.8,139.67,133.59,136.87,120529544,1611187200000,2021-01-21T15:00:00.000-05:00
136.28,139.85,135.02,139.07,114459360,1611273600000,2021-01-22T15:00:00.000-05:00
143.07,145.09,136.54,142.92,157611710,1611532800000,2021-01-25T15:00:00.000-05:00
143.6,144.3,141.37,143.16,98390555,1611619200000,2021-01-26T15:00:00.000-05:00
143.43,144.3,140.41,142.06,140843760,1611705600000,2021-01-27T15:00:00.000-05:00
139.52,141.99,136.7,137.09,142621130,1611792000000,2021-01-28T15:00:00.000-05:00
135.83,136.74,130.21,131.96,177523810,1611878400000,2021-01-29T15:00:00.000-05:00
133.75,135.38,130.93,134.14,106239823,1612137600000,2021-02-01T15:00:00.000-05:00
135.73,136.31,134.61,134.99,83305367,1612224000000,2021-02-02T15:00:00.000-05:00
135.76,135.77,133.61,133.94,89880937,1612310400000,2021-02-03T15:00:00.000-05:00
136.3,137.4,134.59,137.39,84183061,1612396800000,2021-02-04T15:00:00.000-05:00
137.35,137.42,135.86,136.76,75693830,1612483200000,2021-02-05T15:00:00.000-05:00
136.03,136.96,134.92,136.91,71297214,1612742400000,2021-02-08T15:00:00.000-05:00
136.62,137.877,135.85,136.01,76774213,1612828800000,2021-02-09T15:00:00.000-05:00
136.48,136.99,134.4,135.39,73046563,1612915200000,2021-02-10T15:00:00.000-05:00
135.9,136.39,133.77,135.13,64280029,1613001600000,2021-02-11T15:00:00.000-05:00
134.35,135.53,133.6921,135.37,60145130,1613088000000,2021-02-12T15:00:00.000-05:00
135.49,136.01,132.79,133.19,80576316,1613433600000,2021-02-16T15:00:00.000-05:00
131.25,132.22,129.47,130.84,98085249,1613520000000,2021-02-17T15:00:00.000-05:00
129.2,129.995,127.41,129.71,96856748,1613606400000,2021-02-18T15:00:00.000-05:00
130.24,130.71,128.8,129.87,87668834,1613692800000,2021-02-19T15:00:00.000-05:00
128.01,129.72,125.6,126.0,103916419,1613952000000,2021-02-22T15:00:00.000-05:00
123.76,126.71,118.39,125.86,158273020,1614038400000,2021-02-23T15:00:00.000-05:00
124.94,125.56,122.23,125.35,111039904,1614124800000,2021-02-24T15:00:00.000-05:00
124.68,126.4585,120.54,120.99,148199540,1614211200000,2021-02-25T15:00:00.000-05:00
122.59,124.85,121.2,121.26,164560390,1614297600000,2021-02-26T15:00:00.000-05:00
123.75,127.93,122.79,127.79,116307892,1614556800000,2021-03-01T15:00:00.000-05:00
128.41,128.72,125.01,125.12,102260945,1614643200000,2021-03-02T15:00:00.000-05:00
124.81,125.71,121.84,122.06,112966340,1614729600000,2021-03-03T15:00:00.000-05:00
121.75,123.6,118.62,120.13,178154980,1614816000000,2021-03-04T15:00:00.000-05:00
120.98,121.935,117.57,121.42,153766600,1614902400000,2021-03-05T15:00:00.000-05:00
120.93,121.0,116.21,116.36,154376610,1615161600000,2021-03-08T15:00:00.000-05:00
119.03,122.06,118.79,121.085,129525780,1615248000000,2021-03-09T15:00:00.000-05:00
121.69,122.17,119.45,119.98,111943326,1615334400000,2021-03-10T15:00:00.000-05:00
122.54,123.21,121.26,121.96,103026514,1615420800000,2021-03-11T15:00:00.000-05:00
120.4,121.17,119.16,121.03,88105050,1615507200000,2021-03-12T15:00:00.000-05:00
121.41,124.0,120.42,123.99,92590555,1615766400000,2021-03-15T16:00:00.000-04:00
125.7,127.22,124.715,125.57,115227936,1615852800000,2021-03-16T16:00:00.000-04:00
124.05,125.8599,122.336,124.76,111932636,1615939200000,2021-03-17T16:00:00.000-04:00
122.88,123.18,120.32,120.53,121469755,1616025600000,2021-03-18T16:00:00.000-04:00
119.9,121.43,119.675,119.99,185549520,1616112000000,2021-03-19T16:00:00.000-04:00
120.33,123.87,120.26,123.39,111912284,1616371200000,2021-03-22T16:00:00.000-04:00
123.33,124.24,122.14,122.54,95467142,1616457600000,2021-03-23T16:00:00.000-04:00
122.82,122.9,120.065,120.09,88530485,1616544000000,2021-03-24T16:00:00.000-04:00
119.54,121.66,119.0,120.59,98844681,1616630400000,2021-03-25T16:00:00.000-04:00
120.35,121.08,118.92,119.96,71389001,1616716800000,2021-03-26T16:00:00.000-04:00
